Sample,ND_Veh_1,ND_Veh_2,ND_Veh_3,ND_Veh_4,HFD_Veh_1,HFD_Veh_2,HFD_Veh_3,HFD_Veh_4,HFD_Tx_1,HFD_Tx_2,HFD_Tx_3,HFD_Tx_4
4-ethylphenylsulfate,"512,400","510,692","580,803","373,239",,"35,195",,"22,516",,,,
4-guanidinobutanoate,"36,922,216","76,820,184","55,154,184","40,357,712","9,670,890","8,520,451","8,265,045","5,224,818","10,534,597","5,952,666","13,114,001","5,860,237"
4-hydroxy-nonenal-glutathione,"2,759,440","2,837,588","2,530,925","3,327,878","613,970","606,673","618,358","399,930","811,974","973,755","1,217,038","1,186,992"
4-imidazoleacetate,"6,159,391","6,199,485","7,791,557","5,409,454","3,449,804","5,028,861","3,779,033","4,359,040","5,222,659","4,166,919","4,890,587","5,460,347"
4-vinylphenol sulfate,"286,251",,"158,052",,,"567,327","152,350","148,957","186,895","167,667","351,868","172,545"
5-dodecenoate (12:1n7),"674,646","1,164,151","1,011,652","433,558","2,354,331","1,507,731","1,243,515","1,430,669","2,133,295","1,324,116","1,523,664","959,476"
5-hydroxyindoleacetate,"322,057","180,918","142,307","201,123",,"217,459",,"100,876","169,131","229,330","270,747",
5-hydroxylysine,"222,037",,,,"221,370","161,289","300,494",,"238,376","199,163",,
5-methyl-2'-deoxycytidine,"217,028","153,087","259,137","205,657","159,781",,"96,341","149,572","228,440","170,801","140,221","158,216"
5-methyltetrahydrofolate (5MeTHF),"164,177","74,443","136,017","242,632","338,016","228,819","311,794","202,727","119,453","75,886","111,159","91,021"
5-methylthioadenosine (MTA),"14,987,530","30,806,306","25,011,740","18,029,804","18,133,408","17,630,260","16,380,231","14,251,463","13,258,205","17,106,832","27,672,446","34,022,552"
5-methyluridine (ribothymidine),"76,597","80,395","93,760","73,867","93,756","107,075","110,465","102,775","83,379","75,253","51,982","90,424"
5-oxoproline,"11,469,144","12,419,489","12,743,346","17,649,916","14,816,223","13,081,014","14,680,195","12,755,691","12,971,605","11,033,268","11,625,590","12,927,931"
6-beta-hydroxylithocholate,"2,631,488","1,655,412","3,929,111","155,001","2,516,431","663,104","4,161,190","2,210,260","4,868,952","4,297,857","9,893,931","1,307,770"
6-oxolithocholate,"285,740","243,306","301,155",,"96,742",,"178,035",,"254,691","499,063","328,464","41,073"
6-oxopiperidine-2-carboxylic acid,"631,191","475,234","1,085,164","898,404","684,801","1,032,965","2,299,853","817,420","1,838,266","1,794,861","2,073,788","2,238,956"
6-phosphogluconate,"2,042,254","2,526,280","2,824,134","2,363,255","2,161,434","2,316,195","2,097,920","2,038,344","2,354,716","1,860,805","2,062,407","1,974,194"
"7,8-dihydrofolate","221,179","257,024","298,496","207,059","192,187","195,037","250,033","207,783","176,498","161,287","139,057","162,118"
